day,ua_browser_version,ua_browser,ua_form_factor,ua_os_version,ua_os,page_path,page_resource_id,page_type,page_url,location_city,location_region,location_country,referrer_host,referrer_name,referrer_path,referrer_source,referrer_terms,referrer_url,total_sessions,total_carts,total_checkouts,total_orders_placed,total_conversion,avg_duration,total_bounce_rate,total_pageviews,total_visitors
2020-09-23,13,Mobile Safari,Mobile,13,iOS,,,Homepage,https://thebeardroller.com/,Silver Spring,Maryland,United States,www.bing.com,Bing,/search,Search,beard roller,www.bing.com/search?q=beard+roller&form=APIPH1&PC=APPL,1,0,0,0,0,1m1s,0,3,1
2020-09-23,70,Opera,Desktop,10,Windows,,,Homepage,https://thebeardroller.com/,Sofia,Sofia-Capital,Bulgaria,www.mapolas.com,,,Unknown,,www.mapolas.com?key=02a5e21f-f20d-4409-81be-16f23450ab86,1,0,0,0,0,0s,1,1,1
2020-09-23,12,Samsung Internet,Mobile,9,Android,,,Homepage,https://thebeardroller.com/,Rougemont,North Carolina,United States,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-09-23,,Facebook,Mobile,12,iOS,,,Homepage,https://thebeardroller.com/?fbclid=IwAR1KenTwcayj6NMWIN5lKuhoudd9QnJQcoM8ef5wM1DOnh8J5f0OcLaKjyU,,,United States,m.facebook.com,Facebook,,Social,,m.facebook.com,1,0,0,0,0,0s,1,1,1
2020-09-23,159,Instagram,Mobile,13,iOS,,,Homepage,https://thebeardroller.com/,,,United Kingdom,,,,Direct,,,1,0,0,0,0,6s,0,2,1
2020-09-23,,Facebook,Mobile,13,iOS,,,Homepage,https://thebeardroller.com/?fbclid=IwAR0lKwgGNUqaO-NQtzqgXHknymTmFu_PrVYlTWy23eDlhqIV4YMUl0e74Jo,Anaheim,California,United States,m.facebook.com,Facebook,,Social,,m.facebook.com,1,0,0,0,0,0s,1,1,1
2020-09-24,288,Facebook,Mobile,10,Android,,,Homepage,https://thebeardroller.com/,Dallas,Texas,United States,m.facebook.com,Facebook,,Social,,m.facebook.com,1,0,1,0,0,1m7s,0,5,1
2020-09-24,,Facebook,Mobile,13,iOS,,,Homepage,https://thebeardroller.com/?fbclid=IwAR1s8UcxCFCfXmk9XEb7Po87zqwqucz16mJmLvPEH8vUmaWqew616HsC2HA,Huntington Beach,California,United States,m.facebook.com,Facebook,,Social,,m.facebook.com,1,0,0,0,0,0s,1,1,1
2020-09-24,,Facebook,Mobile,13,iOS,,,Homepage,https://thebeardroller.com/?fbclid=IwAR3E_0HlyX-CGPFifUb9XWJvwBSfztGtnYpLpKh7UPOKa_Yb3X0hxLoRACA,Greensboro,North Carolina,United States,m.facebook.com,Facebook,,Social,,m.facebook.com,1,0,0,0,0,0s,1,1,1
2020-09-24,289,Facebook,Mobile,10,Android,,,Homepage,https://thebeardroller.com/,Dayton,Ohio,United States,m.facebook.com,Facebook,,Social,,m.facebook.com,1,0,0,0,0,54s,0,3,1
2020-09-24,288,Facebook,Mobile,10,Android,,,Homepage,https://thebeardroller.com/,Fort Worth,Texas,United States,m.facebook.com,Facebook,,Social,,m.facebook.com,1,0,0,0,0,0s,1,1,1
2020-09-24,68,HeadlessChrome,Desktop,,Fedora,,,Homepage,https://thebeardroller.com/,Boardman,Oregon,United States,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-09-24,289,Facebook,Mobile,10,Android,,,Homepage,https://thebeardroller.com/,Jamestown,New York,United States,m.facebook.com,Facebook,,Social,,m.facebook.com,1,0,0,0,0,0s,1,1,1
2020-09-24,85,Chrome Mobile,Mobile,10,Android,,,Homepage,https://thebeardroller.com/,Charlotte,North Carolina,United States,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-09-24,84,Chrome Mobile,Mobile,7,Android,/products/the-beard-roller,2439492730958,Product,https://thebeardroller.com/products/the-beard-roller,,,United States,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-09-24,84,Chrome Mobile,Mobile,7,Android,,,Homepage,https://thebeardroller.com/,,Virginia,United States,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-09-24,85,Chrome Mobile,Mobile,10,Android,/products/the-beard-roller,2439492730958,Product,https://thebeardroller.com/products/the-beard-roller?variant=21727675023438,Seattle,Washington,United States,thebeardroller.com,,,Direct,,thebeardroller.com,2,0,0,0,0,0s,1,2,1
2020-09-24,85,Chrome,Desktop,10,Windows,,,Homepage,https://thebeardroller.com/,Reading,England,United Kingdom,www.bing.com,Bing,,Search,,www.bing.com,1,0,0,0,0,0s,1,1,1
2020-09-24,85,Chrome,Desktop,10,Windows,,,Homepage,https://thebeardroller.com/,Holyhead,Wales,United Kingdom,www.bing.com,Bing,,Search,,www.bing.com,1,0,0,0,0,0s,1,1,1
2020-09-24,85,Chrome Mobile,Mobile,10,Android,,,Homepage,https://thebeardroller.com/,Seattle,Washington,United States,,,,Direct,,,1,0,0,0,0,4m43s,0,2,1
2020-09-25,84,Chrome Mobile,Mobile,7,Android,,,Homepage,https://thebeardroller.com/,,,United States,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-09-25,84,Chrome Mobile,Mobile,7,Android,/products/the-beard-roller,2439492730958,Product,https://thebeardroller.com/products/the-beard-roller,,Virginia,United States,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-09-25,14,Mobile Safari,Mobile,14,iOS,,,Homepage,https://thebeardroller.com/,Hobro,North Denmark,Denmark,www.google.dk,Google,,Search,,www.google.dk,1,0,0,0,0,0s,1,1,1
2020-09-25,12,Samsung Internet,Mobile,9,Android,,,Homepage,https://thebeardroller.com/,Houston,Texas,United States,,,,Direct,,,2,0,0,0,0,0s,1,2,1
2020-09-25,,Facebook,Mobile,14,iOS,,,Homepage,https://thebeardroller.com/?fbclid=IwAR1TuRSxHvph08MxqZ05Nh-p0C6lRJ4_k5F_kuetcvRQ2OFnCVvv1DAHj90,Sacramento,California,United States,m.facebook.com,Facebook,,Social,,m.facebook.com,1,0,0,0,0,0s,1,1,1
2020-09-25,287,Facebook,Mobile,10,Android,,,Homepage,https://thebeardroller.com/,Brooklyn,New York,United States,m.facebook.com,Facebook,,Social,,m.facebook.com,1,0,0,0,0,0s,1,1,1
2020-09-25,289,Facebook,Mobile,11,Android,,,Homepage,https://thebeardroller.com/,Mulberry,Florida,United States,m.facebook.com,Facebook,,Social,,m.facebook.com,1,0,0,0,0,0s,1,1,1
2020-09-25,289,Facebook,Mobile,10,Android,,,Homepage,https://thebeardroller.com/,Dansville,New York,United States,m.facebook.com,Facebook,,Social,,m.facebook.com,1,0,0,0,0,30s,0,3,1
2020-09-25,289,Facebook,Mobile,10,Android,,,Homepage,https://thebeardroller.com/,Redwood City,California,United States,m.facebook.com,Facebook,,Social,,m.facebook.com,1,0,0,0,0,0s,1,1,1
2020-09-25,289,Facebook,Mobile,9,Android,,,Homepage,https://thebeardroller.com/,Houston,Texas,United States,m.facebook.com,Facebook,,Social,,m.facebook.com,1,0,0,0,0,0s,1,1,1
2020-09-25,85,Chrome Mobile,Mobile,10,Android,,,Homepage,https://thebeardroller.com/?fbclid=IwAR2ptoYxlvcaRXErSXI42-hK7Gbnt8eHvdUVDH9GfgHVP1dVpeitd2G4J8g,Houston,Texas,United States,m.facebook.com,Facebook,,Social,,m.facebook.com,1,0,0,0,0,0s,1,1,1
2020-09-26,12,Samsung Internet,Mobile,9,Android,,,Homepage,https://thebeardroller.com/,Houston,Texas,United States,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-09-26,85,Chrome Mobile,Mobile,9,Android,,,Homepage,https://thebeardroller.com/,League City,Texas,United States,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-09-26,84,Chrome,Desktop,10,Windows,/orders,,Checkout,https://thebeardroller.com/9854287950/orders/e7fd42df53cb23170b233d6cc91c50da,,,United States,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-09-26,84,Chrome Mobile,Mobile,7,Android,/products/the-beard-roller,2439492730958,Product,https://thebeardroller.com/products/the-beard-roller,,Virginia,United States,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-09-26,289,Facebook,Mobile,9,Android,,,Homepage,https://thebeardroller.com/,Houston,Texas,United States,m.facebook.com,Facebook,,Social,,m.facebook.com,1,0,0,0,0,0s,1,1,1
2020-09-26,81,Chrome,Desktop,10,Windows,,,Homepage,https://thebeardroller.com/,Dublin,Leinster,Ireland,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-09-26,85,Chrome Mobile,Mobile,10,Android,/products/the-beard-roller,2439492730958,Product,https://thebeardroller.com/products/the-beard-roller?variant=21727675023438,Seattle,Washington,United States,thebeardroller.com,,,Direct,,thebeardroller.com,1,0,0,0,0,0s,1,1,1
2020-09-26,84,Chrome Mobile,Mobile,7,Android,,,Homepage,https://thebeardroller.com/,,,United States,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-09-26,85,Chrome Mobile,Mobile,9,Android,,,Homepage,https://thebeardroller.com/,Philadelphia,Pennsylvania,United States,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-09-26,,Facebook,Mobile,13,iOS,,,Homepage,https://thebeardroller.com/?fbclid=IwAR3RenpPwfiAQxphg0Y_6lSkQMxrYmvuFsB76KRdZUJGc8IEjVg14igWxQM,,,United States,m.facebook.com,Facebook,,Social,,m.facebook.com,1,0,0,0,0,0s,1,1,1
2020-09-26,,Facebook,Mobile,13,iOS,,,Homepage,https://thebeardroller.com/?fbclid=IwAR00o2vbUwOmtZGjvBSX0kSOxJYYtAzRlAAcjR0kfB_KXGcNzX4JO93f3Ww,Detroit,Michigan,United States,m.facebook.com,Facebook,,Social,,m.facebook.com,1,0,0,0,0,0s,1,1,1
2020-09-26,288,Facebook,Mobile,10,Android,,,Homepage,https://thebeardroller.com/,,Illinois,United States,m.facebook.com,Facebook,,Social,,m.facebook.com,1,1,0,0,0,38s,0,4,1
2020-09-26,,Facebook,Mobile,13,iOS,,,Homepage,https://thebeardroller.com/?fbclid=IwAR2VpLkYp79esp7olxr-t4qDaTrvQ_rjJkuBSJXZoxLq4PV7K9Qk4JYECMk,,,United States,m.facebook.com,Facebook,,Social,,m.facebook.com,1,0,0,0,0,0s,1,1,1
2020-09-26,12,Samsung Internet,Mobile,9,Android,,,Homepage,https://thebeardroller.com/,Cleveland,Ohio,United States,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-09-26,13,Mobile Safari,Mobile,13,iOS,/orders,,Checkout,https://thebeardroller.com/9854287950/orders/e7fd42df53cb23170b233d6cc91c50da,Franklin,Massachusetts,United States,,,,Direct,,,2,0,0,0,0,0s,1,2,1
2020-09-27,84,Chrome Mobile,Mobile,7,Android,,,Homepage,https://thebeardroller.com/,,Virginia,United States,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-09-27,14,Mobile Safari,Mobile,14,iOS,/products/the-beard-roller,2439492730958,Product,https://thebeardroller.com/products/the-beard-roller,Le Roy,New York,United States,,,,Direct,,,1,1,0,0,0,31s,0,4,1
2020-09-27,84,Chrome Mobile,Mobile,7,Android,/products/the-beard-roller,2439492730958,Product,https://thebeardroller.com/products/the-beard-roller,,,United States,,,,Direct,,,1,0,0,0,0,0s,1,1,1
2020-09-27,14,Mobile Safari,Mobile,14,iOS,,,Homepage,https://thebeardroller.com/,Le Roy,New York,United States,thebeardroller.com,,/products/the-beard-roller,Direct,,thebeardroller.com/products/the-beard-roller,1,0,0,0,0,12m49s,0,3,1
2020-09-27,14,Mobile Safari,Mobile,14,iOS,,,Homepage,https://thebeardroller.com/?fbclid=IwAR0Sn4c9OQEgXfebNcIWQ7lrKSz-tRKTS37I0m6WRkCeEUyJqUkeeNhl_78,,,United States,www.facebook.com,Facebook,,Social,,www.facebook.com,1,0,0,0,0,0s,1,1,1
2020-09-27,,Facebook,Mobile,13,iOS,,,Homepage,https://thebeardroller.com/?fbclid=IwAR3XjEETQpvD0LCK66KdRYVQgc3ZMXqCW79hZuKYgdO7wZiKieQlKzkMqec,Philadelphia,Pennsylvania,United States,m.facebook.com,Facebook,,Social,,m.facebook.com,1,0,0,0,0,0s,1,1,1
